DATE(CREATED_AT),COUNT(ID)
2024-04-01,136183
2024-04-14,94204
2024-04-13,57945
2024-01-16,91861
2024-01-17,82137
2024-02-09,65348
2024-02-04,70183
2024-02-28,87292
2024-02-06,85653
2024-02-14,77460
2024-05-05,154756
2024-05-22,164677
2024-05-21,227467
2024-06-13,191560
2024-06-14,152438
2024-07-03,223998
2024-07-05,164938
2024-07-08,231862
2024-07-17,160924
2024-07-27,82880
2024-08-03,78589
2024-08-22,168349
2024-08-27,180133
2024-09-04,227717
2024-09-14,70958
2024-09-22,88168
2024-09-23,169907
2024-09-29,106220
2024-09-30,244918
2024-10-04,177779
2024-11-04,223119
2024-11-16,80723
2024-12-09,359792
2024-12-26,78216
2025-01-09,176787
2025-03-04,173411
2025-03-21,110950
2025-04-14,198423
2025-05-12,204257
2025-05-15,146665
2025-06-05,117675
2025-07-12,55825
2025-08-22,130684
2025-09-12,138987
2024-02-13,84043
2024-04-21,173188
2024-05-03,189575
2024-06-07,173518
2024-06-06,233910
2024-06-22,83848
2024-08-17,71942
2024-09-07,93291
2024-09-16,235284
2024-10-09,187903
2024-10-16,166562
2024-10-24,147325
2024-11-08,135856
2024-11-14,171214
2024-11-17,127771
2024-11-25,369735
2024-12-30,202740
2025-01-27,232722
2025-02-05,195472
2025-02-14,122034
2025-03-18,142446
2025-03-23,98890
2025-03-30,101949
2025-04-01,179187
2025-04-21,123167
2025-05-31,68608
2025-06-01,114389
2025-07-04,139602
2025-08-14,147856
2025-08-28,156675
2024-07-12,138131
2024-10-18,129105
2024-10-30,154504
2024-11-13,168889
2024-11-21,232113
2025-03-25,152633
2025-07-24,135623
2025-09-10,163348
2025-09-15,242449
2024-11-06,164801
2025-08-11,242767
2024-03-19,124026
2024-01-02,140351
2024-01-07,81708
2024-02-15,74072
2024-03-31,97952
2024-03-01,130219
2024-03-12,125781
2024-01-14,66167
2024-03-06,128366
2024-02-03,39168
2024-03-09,68435
2024-01-27,49607
2024-05-10,211078
2024-05-31,178288
2024-06-04,229408
2024-06-05,192290
2024-06-11,219082
2024-06-10,278610
2024-07-22,202864
2024-07-26,135569
2024-08-04,124443
2024-08-30,176677
2024-09-06,147576
2024-09-10,186641
2024-10-06,135860
2024-10-12,87734
2024-10-13,126082
2024-10-17,154238
2024-10-25,120362
2024-11-01,138467
2024-11-19,194299
2024-11-29,586275
2024-12-01,316289
2024-12-06,221457
2024-12-20,153567
2025-01-10,139479
2025-01-21,171998
2025-02-08,60427
2025-02-13,145701
2025-02-28,151043
2025-03-02,124162
2025-03-11,152576
2025-04-08,157199
2025-05-24,65230
2025-06-15,109030
2025-07-15,152550
2025-07-22,155916
2025-07-23,143567
2025-08-10,112392
2025-09-07,129510
2024-07-09,181819
2024-08-14,179628
2024-08-18,139661
2024-09-27,120570
2024-10-02,175151
2024-10-15,167578
2024-11-12,200344
2024-11-11,239914
2024-11-22,190000
2024-12-04,289053
2024-12-05,276048
2024-12-17,323686
2025-01-01,50826
2025-01-05,130626
2025-02-16,100902
2025-02-25,150286
2025-02-27,140570
2025-03-05,158514
2025-03-06,146678
2025-04-12,62111
2025-05-03,79717
2025-06-07,61451
2025-06-11,167244
2025-07-03,162649
2025-07-08,205388
2025-07-17,131919
2025-07-28,209609
2025-08-24,103101
2025-08-29,180892
2025-09-13,71838
2025-09-17,202387
2024-08-05,266380
2025-01-07,205955
2025-01-22,156334
2025-02-01,102432
2025-04-16,128508
2025-05-20,160236
2025-06-16,233524
2025-06-30,257121
2025-07-02,187651
2025-08-03,119739
2025-08-13,157652
